node,x_pos,y_pos,type
1,0.1,2.65,source
2,23.814,51.18,intermediate
3,24.097,50.83,intermediate
4,22.94,49.803,intermediate
5,22.145,48.56,intermediate
6,25.96,48.029,intermediate
7,28.814,45.353,intermediate
8,24.5,51.2,intermediate
9,24.3,50.9,intermediate
10,24,50.6,intermediate
11,24.8,51,intermediate
12,24.5,50.6,intermediate
13,25.5,51,intermediate
14,25.2,50.8,intermediate
15,24.8,50.2,intermediate
16,24.5,49.5,intermediate
17,26.5,50.5,intermediate
18,26.2,50,intermediate
19,26,49.5,intermediate
20,27,49.5,intermediate
21,27.5,49.8,intermediate
22,27.5,50.2,intermediate
23,30.702,46.483,intermediate
24,28.5,47.8,intermediate
25,28.5,48.5,intermediate
26,29,49,intermediate
27,29.5,49.5,intermediate
28,30,50.2,intermediate
29,29.5,50.5,intermediate
30,30,50.5,intermediate
31,30.8,50.5,intermediate
32,30,49,intermediate
33,29.5,47.5,intermediate
34,30.5,49.2,intermediate
35,31,49.5,intermediate
36,31.5,48.8,intermediate
37,31,47.8,intermediate
38,32,48.2,intermediate
39,32.5,48.8,intermediate
40,32,49.2,intermediate
41,32,49.5,intermediate
42,30.5,51,intermediate
43,31.5,51,intermediate
44,32,50.5,intermediate
45,32.8,50,intermediate
46,33.5,49.5,intermediate
47,33,49,intermediate
48,33.5,48.5,intermediate
49,32.5,48,intermediate
50,30.5,47.5,intermediate
51,9,2.65,sink
